"Country or Area","Year","Value"
"Australia","2018","415953.946668257"
"Australia","2017","415097.42766819"
"Australia","2016","411031.531117043"
"Australia","2015","401554.757230168"
"Australia","2014","394116.891505507"
"Australia","2013","397943.178573917"
"Australia","2012","406506.241774818"
"Australia","2011","404172.757021574"
"Australia","2010","405502.798857304"
"Australia","2009","407463.327962593"
"Australia","2008","404417.407486178"
"Australia","2007","399842.460646105"
"Australia","2006","392680.646328911"
"Australia","2005","386513.45429618"
"Australia","2004","383205.122284339"
"Australia","2003","369726.018066042"
"Australia","2002","362209.546033934"
"Australia","2001","357669.182881018"
"Australia","2000","350195.023826897"
"Australia","1999","344063.765859686"
"Australia","1998","334684.517907243"
"Australia","1997","320795.086167167"
"Australia","1996","312361.585574263"
"Australia","1995","305410.166604956"
"Australia","1994","294014.960792545"
"Australia","1993","289235.186168999"
"Australia","1992","284912.437867139"
"Australia","1991","279872.660257341"
"Australia","1990","278424.660375653"
"Austria","2018","66719.6777666744"
"Austria","2017","69628.8596106596"
"Austria","2016","67112.2654587419"
"Austria","2015","66283.2365458533"
"Austria","2014","64084.4274667337"
"Austria","2013","67745.6895442715"
"Austria","2012","67209.0963816178"
"Austria","2011","69898.2413042763"
"Austria","2010","72011.8408789925"
"Austria","2009","67493.9480784093"
"Austria","2008","73588.4048158102"
"Austria","2007","74262.5877706597"
"Austria","2006","76898.3285249658"
"Austria","2005","79192.4319215329"
"Austria","2004","77674.3906380596"
"Austria","2003","77554.2519648355"
"Austria","2002","71918.7621509873"
"Austria","2001","70102.5999732436"
"Austria","2000","66162.8879058016"
"Austria","1999","65562.7217746465"
"Austria","1998","66875.1468247755"
"Austria","1997","67232.7787574344"
"Austria","1996","67421.5890947817"
"Austria","1995","64065.25981886"
"Austria","1994","61002.4393644111"
"Austria","1993","60635.4191406704"
"Austria","1992","60204.0685273764"
"Austria","1991","65725.5331115649"
"Austria","1990","62124.7007131878"
"Belarus","2018","61871.6758664283"
"Belarus","2017","60742.9346075393"
"Belarus","2016","60284.8505856025"
"Belarus","2015","58633.0602039355"
"Belarus","2014","63083.6392330706"
"Belarus","2013","63743.4453720989"
"Belarus","2012","63008.3458582166"
"Belarus","2011","62106.7449034948"
"Belarus","2010","63156.3918517196"
"Belarus","2009","61402.6986828271"
"Belarus","2008","65694.8182536516"
"Belarus","2007","63569.9283051038"
"Belarus","2006","64157.1581431005"
"Belarus","2005","61367.0987934247"
"Belarus","2004","60076.4685262107"
"Belarus","2003","56484.9540140683"
"Belarus","2002","55077.6972533529"
"Belarus","2001","54967.8713049379"
"Belarus","2000","54877.3582978"
"Belarus","1999","54984.4971599379"
"Belarus","1998","57372.4677788785"
"Belarus","1997","58720.5917777519"
"Belarus","1996","58214.7994067877"
"Belarus","1995","57375.4507154768"
"Belarus","1994","62367.8855186097"
"Belarus","1993","76380.0498572845"
"Belarus","1992","88662.012949414"
"Belarus","1991","96647.1252823627"
"Belarus","1990","103689.711004985"
"Belgium","2018","100207.83597427"
"Belgium","2017","99456.2752697695"
"Belgium","2016","99806.9444086566"
"Belgium","2015","100981.344053584"
"Belgium","2014","96811.3230753459"
"Belgium","2013","102674.40413736"
"Belgium","2012","102428.754733721"
"Belgium","2011","105046.057789402"
"Belgium","2010","114561.03017821"
"Belgium","2009","107743.366678221"
"Belgium","2008","120202.862272037"
"Belgium","2007","120496.161555536"
"Belgium","2006","123905.757273144"
"Belgium","2005","125661.687650787"
"Belgium","2004","128805.292345769"
"Belgium","2003","128275.264734252"
